formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Ca$_{65}$Mg$_{25}$Zn$_{10}$,1.2507,,,759,K,0.5336,3.5694,0.533596838,0.5,mm,,,0.28015913,0.3288,0.04839,,,0.50988,1.0887,,,405,K,,,0.3534,,,,,18,387,K,1.5564,,0.55731
Cu$_{52.5}$Zr$_{42.5}$Ga$_{5}$,3.3881,,,1187,K,0.65459,5.5608,0.654591407,2,mm,,,0.17983024,0.41301,0.09692,,,0.61752,1.7115,,,777,K,,,0.40469,,,,,44,733,K,1.6776,,0.69166
La$_{62.5}$Al$_{12.5}$Cu$_{15}$Ni$_{5}$Ag$_{5}$,,,,717,K,,,,,,,,,,,,,0.545,,,,,,,,,,,,,,391,K,,,
Fe$_{67}$Mo$_{5}$Y$_{6}$B$_{22}$,2.947,,,1483,K,0.6345,4.7176,0.634524612,3.5,mm,,,0.211972189,0.3613,0.0373,,,0.6204,1.6714,,,941,K,,,0.3916,,,,,21,920,K,1.6432,,0.6487
Cu$_{43}$Zr$_{43}$Al$_{7}$Ag$_{7}$,5.2598,,,1125,K,0.70844,8.5471,0.708444444,8,mm,,,0.116998748,0.46744,0.20964,,,0.63111,1.9205,,,797,K,,,0.43433,,,,,87,710,K,1.7536,,0.78578
Cu$_{66}$Zr$_{34}$,,,,1263,K,,,0.622,,,,,0.218108044,,,,,0.603,,,,785,K,,,0.388,,,,,23,762,K,,1.254,
Pd$_{64.5}$Cu$_{19}$Si$_{16.5}$,,,,1234.3,K,,,,,,1167.1,K,,,,,,0.519,,0.1,mm,,,,,,near eutectic,,,0.548,,640,K,,,
La$_{62}$Al$_{14}$Cu$_{17}$Ag$_{7}$,2.3549,,,739,K,0.61976,5.6404,0.619756428,5,mm,,,0.177292391,0.4095,0.15616,,,0.54939,1.3754,,,458,K,,,0.4,,,,,52,406,K,1.6775,,0.69012
La$_{32}$Ce$_{32}$Al$_{16}$Ni$_{5}$Cu$_{15}$,2.6681,,,712,K,0.63343,5.8582,0.633426966,10,mm,,,0.170700898,0.41753,0.15534,,,0.56601,1.4595,,,451,K,,,0.40448,,,,,48,403,K,1.6851,,0.70084
Zr$_{36}$Nb$_{12}$Cu$_{10}$Ni$_{6}$Fe$_{2}$Be$_{20}$Y$_{2}$Mg$_{12}$,4.7472,,,1029,K,0.69193,6.5655,0.691933916,5,mm,,,0.152311324,0.43818,0.11699,,,0.65112,1.9833,,,712,K,,,0.41907,,,,,42,670,K,1.7138,,0.73275
Zr$_{48}$Cu$_{34}$Pd$_{2}$Ag$_{8}$Al$_{8}$,4.636,,,1140,K,0.69649,8.3225,0.696491228,30,mm,,,0.120156203,0.46092,0.2154,,,0.613,1.8005,,,794,K,,,0.43176,,,,,95,699,K,1.7491,,0.77982
Cu$_{55}$Zr$_{40}$Al$_{5}$,,,,1166.129,K,,,,,,,,,,,,,0.62,,,,,,,,,,,,,74,723,K,,,
(Cu$_{0.6}$Hf$_{0.25}$Ti$_{0.15}$)$_{98}$Nb$_{2}$,3.845,,,1184,K,0.66892,5.922,0.668918919,4,mm,,,0.168861871,0.42302,0.10502,,,0.63007,1.8082,,,792,K,,,0.41036,,,,,46,746,K,1.6917,,0.70777
Cu$_{47}$Zr$_{43}$Al$_{7}$Be$_{3}$,4.9068,,,1139,K,0.70061,8.0202,0.700614574,6,mm,,,0.12468517,0.46137,0.19575,,,0.62774,1.8821,,,798,K,,,0.43042,,,,,83,715,K,1.7438,,0.77349
Pd$_{81.5}$Cu$_{2}$Si$_{6.5}$,2.3261,,,1097,K,0.61076,4.6952,0.610756609,2,mm,,,0.212983472,0.38446,0.07974,,,0.57703,1.444,,,670,K,,,0.38728,,,,,37,633,K,1.6355,,0.64448
Al$_{25}$Au$_{20}$La$_{55}$,,,,,,,,,,,,,,,,,,,,,,577,K,,,,,,,,,531,K,,,
La$_{62.5}$Al$_{12.5}$Ag$_{5}$Cu$_{15}$Fe$_{5}$,2.4163,,,713,K,0.6241,5.9087,0.624123422,6,mm,,,0.169241965,0.4134,0.1703,,,0.547,1.3777,,,445,K,,,0.4035,,,,,55,390,K,1.688,,0.7013
Mg$_{65}$Cu$_{15}$Ag$_{10}$Y$_{6}$Gd$_{4}$,,7.5,mm,685,K,,,0.689051095,,,,,0.136675405,,,,,0.623357664,,,,472,K,,,0.424460432,,45,K,,,427,K,,,
Pr$_{68}$(CuNi)$_{25}$Al$_{7}$,,1.5,mm,703,K,,,0.591749644,,,,,0.251674062,,,,,0.567567568,,,,416,K,,,0.377495463,,,,,,399,K,,,
Cu$_{59.6}$Zr$_{36.9}$Al$_{3.5}$,,,,1181,K,,,,,,,,0.152,,,,,0.627,,,,802,K,,,0.417,,,,,62,740,K,,,
Ti$_{40}$Zr$_{10}$Cu$_{30}$Pd$_{20}$,1.8132,,,1279,K,0.58405,4.529,0.584050039,3,mm,,,0.220799293,0.37903,0.10135,,,0.53714,1.2618,,,747,K,,,0.37996,,,,,60,687,K,1.6245,,0.63096
Zr$_{49}$Cu$_{47}$Al$_{4}$,,,,1208,K,,,,,,,,0.204,,,,,0.577,,,,745,K,,,0.391,,,,,48,697,K,,,
La$_{60}$Al$_{15}$Ag$_{5}$Cu$_{20}$,2.4957,,,759,K,0.6337,7.0274,0.63372859,5,mm,,,0.142300139,0.4196,0.2235,,,0.5283,1.3436,,,481,K,,,0.4147,,,,,80,401,K,1.7278,,0.7391
La$_{62}$Al$_{14}$Cu$_{18}$Ag$_{6}$,2.3836,,,736,K,0.62092,5.638,0.620923913,5,mm,,,0.177367861,0.41003,0.15455,,,0.55163,1.3848,,,457,K,,,0.40018,,,,,51,406,K,1.6772,,0.69022
Ca$_{65}$Mg$_{15}$Ag$_{20}$,,,,664.5798,K,,,,,,,,0.17817921,,,,,0.584387467,,,,424.051,K,,,0.402725922,,,,,37.32142857,388.3721,K,,,
Cu$_{50}$Zr$_{42.5}$Ti$_{7.5}$,2.5652,,,1152,K,0.6224,4.904,0.622395833,5,mm,,,0.203915171,0.3922,0.0842,,,0.5877,1.5095,,,717,K,,,0.392,,,,,40,677,K,1.6468,,0.6571
Y$_{36}$Sc$_{20}$Al$_{24}$Co$_{20}$,6.5294,,,1034,K,0.73501,12.442,0.735009671,25,mm,,,0.08037293,0.48747,0.29563,,,0.62379,1.9537,,,760,K,,,0.45265,,,,,115,645,K,1.8021,,0.84623
Ca$_{60}$Al$_{30}$Ag$_{10}$,2.2583,,,868,K,0.61175,5.1393,0.611751152,2,mm,,,0.194579028,0.39998,0.12468,,,0.55645,1.3792,,,531,K,,,0.39304,,,,,48,483,K,1.6558,,0.66705
Ti$_{41.5}$Zr$_{2.5}$Hf$_{5}$Cu$_{37.5}$Ni$_{7.5}$SiSn$_{5}$,2.9986,,,1176,K,0.64413,5.7646,0.644132653,6,mm,,,0.173472574,0.41951,0.133,,,0.58954,1.5693,,,757.5,K,,,0.40523,,,,,64.2,693.3,K,1.6821,,0.69872
Zr$_{58}$Cu$_{36}$Al$_{6}$,,,,1245,K,,,,,,,,0.226,,,,,0.539,,,,724,K,,,0.378,,,,,53,671,K,,,
Mg$_{35}$Sr$_{65}$,,,,756,K,,,,,,,,,,,,,0.507,,,,,,,,,,,,,,383,K,,0.755,
La$_{62}$Al$_{14}$Cu$_{19}$Ag$_{5}$,2.4599,,,730,K,0.62466,5.7306,0.624657534,5,mm,,,0.174501797,0.41252,0.15692,,,0.55479,1.4031,,,456,K,,,0.40176,,,,,51,405,K,1.6807,,0.69452
Mg$_{65}$Cu$_{25}$Tb$_{8}$Y$_{2}$,,5,mm,734,K,,,0.670299728,,,,,0.130236794,,,,,0.568119891,,,,492,K,,,0.427454387,,,,,,417,K,,,
Mg$_{65}$Cu$_{25}$Nd$_{10}$,2.3255,,,744,K,0.6129,4.9335,0.612903226,1,mm,,,0.202695855,0.39477,0.1028,,,0.56855,1.4206,,,456,K,,,0.39075,,,,,33,423,K,1.6466,,0.65726
Cu$_{60}$Zr$_{30}$Ti$_{10}$,2.9347,,,1175,K,0.63489,4.8076,0.634893617,2,mm,,,0.208003994,0.37387,0.04878,,,0.61617,1.6541,,,746,K,,,0.39284,,,,,22,724,K,1.6466,,0.65362
La$_{55}$Al$_{17.5}$Ag$_{7.5}$Cu$_{20}$,1.6889,,,852,K,0.5845,5.3251,0.584507042,3,mm,,,0.187789901,0.3877,0.171,,,0.4988,1.1663,,,498,K,,,0.39,,,,,73,425,K,1.6706,,0.6702
(Cu$_{60}$Zr$_{30}$Ti$_{10}$)$_{99}$Sn,3.9437,,,1155,K,0.67186,6.0174,0.671861472,5,mm,,,0.166184731,0.42566,0.10824,,,0.63203,1.8259,,,776,K,,,0.41167,,,,,46,730,K,1.695,,0.71169
Pd$_{42.5}$Cu$_{27.5}$Ni$_{10}$P$_{20}$,9.1517,,,871,K,0.76349,,0.763490241,,,,,0.07545,0.50549,0.28223,0.083,K/s,0.67049,2.3171,,,665,K,,,0.45704,,,,,81,584,K,1.8092,,0.85649
Cu$_{47}$Ti$_{33}$Zr$_{11}$Sn$_{8}$Si,,,,1333,K,,,,,,,,0.18075693,,,,,0.524188612,,,,805,K,,,0.395947276,,,,,106,699,K,,,
Zr$_{66}$Al$_{8}$Ni$_{26}$,1.6103,,,1251,K,0.56563,,0.565627498,,,,,0.25078,0.3529,0.06149,66.6,K/s,0.53717,1.2221,,,707.6,K,,,0.36797,,,,,35.6,672,K,1.5901,,0.59408
Zr$_{58.5}$Nb$_{2.8}$Cu$_{15.6}$Ni$_{12.8}$Al$_{10.3}$,,,,1101,K,,,,,,,,,,,,,0.605,,,,,,,,,,,,,,666,K,,,
Cu$_{47}$Ti$_{33}$Zr$_{11}$SiNi$_{6}$Sn$_{2}$,3.9168,,,1140,K,0.67105,5.9886,0.671052632,6,mm,,,0.166983936,0.42485,0.10714,,,0.63158,1.8214,,,765,K,,,0.41129,,,,,45,720,K,1.6941,,0.71053
Cu$_{48}$Zr$_{48}$Al$_{4}$,,,,1188,K,,,,,,,,0.183,,,,,0.58,,,,751,K,,,0.4,,,,,62,689,K,,,
Cu$_{55}$Zr$_{42.5}$Ga$_{2.5}$,2.829,,,1199,K,0.63553,5.3402,0.635529608,1,mm,,,0.187258904,0.40809,0.10816,,,0.59133,1.5551,,,762,K,,,0.39937,,,,,53,709,K,1.6661,,0.67973
Ti$_{41.5}$Zr$_{2.5}$Hf$_{5}$Cu$_{42.5}$Ni$_{7.5}$Si,2.2568,,,1199,K,0.60884,4.8142,0.608840701,5,mm,,,0.207718832,0.39048,0.09634,,,0.56714,1.4066,,,730,K,,,0.3885,,,,,50,680,K,1.6407,,0.65054
Fe$_{67}$Ni$_{5}$Y$_{6}$B$_{22}$,2.3096,,,1469,K,0.6065,4.3443,0.606535058,1,mm,,,0.230186681,0.3551,0.0415,,,0.5895,1.4776,,,891,K,,,0.3816,,,,,25,866,K,1.6184,,0.6236
Cu$_{45}$Zr$_{45}$Ag$_{5}$Al$_{5}$,4.119,,,1147,K,0.6827,7.4515,0.682650392,9,mm,,,0.134201168,0.4505,0.1911,,,0.6077,1.74,,,783,K,,,0.4246,,,,,86,697,K,1.7311,,0.7576
Co$_{50}$Cr$_{15}$Mo$_{14}$C$_{15}$B$_{6}$,2.6901,,,1417,K,0.63162,5.4787,0.63161609,2,mm,,,0.182525052,0.41141,0.12709,,,0.57798,1.4967,,,895,K,,,0.40027,,,,,76,819,K,1.6708,,0.68525
Ca$_{45}$Mg$_{25}$Cu$_{30}$,3.0417,,,678,K,0.64602,5.8436,0.646017699,6,mm,,,0.171127387,0.42135,0.13669,,,0.58997,1.5755,,,438,K,,,0.40631,,,,,38,400,K,1.685,,0.70206
Zr$_{50}$Cu$_{40}$Ag$_{10}$,2.4801,,,1177,K,0.6228,5.361,0.622769754,5,mm,,,0.186532363,0.4071,0.1294,,,0.5667,1.4373,,,733,K,,,0.3975,,,,,66,667,K,1.6656,,0.6788
Ca$_{60}$Mg$_{13}$Cu$_{27}$,2.2194,,,701,K,0.6077,4.8722,0.607703281,1,mm,,,0.20524609,0.39252,0.10423,,,0.56205,1.3876,,,426,K,,,0.38904,,,,,32,394,K,1.6433,,0.65335
Gd$_{60}$Ni$_{15}$Al$_{25}$,3.0488,,,1006,K,0.6441,5.5242,0.644135189,4,mm,,,0.181021686,0.4136,0.1117,,,0.5994,1.6079,,,648,K,,,0.4027,,,,,45,603,K,1.674,,0.6889
La$_{62}$Al$_{14}$Cu$_{20}$Ag$_{4}$,2.4718,,,729,K,0.62551,5.7866,0.625514403,8,mm,,,0.172813051,0.41336,0.16,,,0.55418,1.4031,,,456,K,,,0.40247,,,,,52,404,K,1.6829,,0.69684
Ti$_{40}$Zr$_{25}$Ni$_{8}$Cu$_{9}$Be$_{18}$,3.5675,,,1009,K,0.66204,5.9638,0.662041625,8,mm,,,0.167678326,0.4255,0.12113,,,0.61546,1.7216,,,668,K,,,0.40982,,,,,47,621,K,1.6911,,0.70862
Mg$_{61}$Cu$_{28}$Gd$_{11}$,3.1593,,,737,K,0.65536,6.8732,0.655359566,12,mm,,,0.145492638,0.43424,0.19365,,,0.57259,1.5333,,,483,K,,,0.41674,,,,,61,422,K,1.7171,,0.73813
Ti$_{65}$Be$_{18}$Cu$_{9}$Ni$_{8}$,,,,1136,K,,,,,,,,0.230652216,,,,,0.558,,,,670,K,,,0.378,,,,,35,635,K,,,
Y$_{60}$Fe$_{30}$Al$_{10}$,,,,1225.4,K,,,,,,1075.9,K,,,,,,0.467,,,,,,,,,off eutectic,,,0.532,,572,K,,,
Cu$_{55}$Ag$_{5}$Zr$_{30}$Ti$_{10}$,2.9819,,,1149,K,0.63795,4.9854,0.63794604,3,mm,,,0.20058571,0.3883,0.06517,,,0.61271,1.6472,,,733,K,,,0.39557,,,,,29,704,K,1.6539,,0.66319
Ce$_{65}$Al$_{15}$Cu$_{20}$,,,,772.3404,K,,,,,,,,0.214661865,,,,,0.47,,,,425,K,,,0.374337063,,,,,62,363,K,,,
Cu$_{56}$Zr$_{44}$,,,,1163,K,,,0.681,,,,,0.149228937,,,,,0.626,,,,792,K,,,0.419,,,,,64,728,K,,0.797,
Nd$_{60}$Fe$_{30}$Al$_{10}$,,,,958,K,,,,,,929.3,K,,,,12,K/s,0.617,,15,mm,,,,,,eutectic,,,0.636,,591,K,,,
La$_{62}$Al$_{14}$(Cu$_{.833}$Ag$_{.167}$)$_{12}$(Ni$_{.15}$Co$_{.15}$)$_{12}$,3.9213,,,698,K,0.67479,6.6883,0.6747851,16,mm,,,0.149514824,0.44084,0.15613,,,0.61461,1.7509,,,471,K,,,0.41792,,,,,42,429,K,1.7125,,0.73496
Ca$_{66.4}$Al$_{33.6}$,2.5712,,,873,K,0.61856,4.4637,0.618556701,1,mm,,,0.224029393,0.35205,0.03478,,,0.60481,1.5652,,,540,K,,,0.38544,,,,,12,528,K,1.6275,,0.6323
La$_{55}$Al$_{25}$Ni$_{15}$Cu$_{5}$,1.9954,,,899.6,K,0.6016,,0.601600711,,,,,0.18532,0.39853,0.15869,34.5,K/s,0.52646,1.2704,,,541.2,K,,,0.39412,,,,,67.6,473.6,K,1.6692,,0.67675
((Ni$_{0.9}$Fe$_{0.1}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,1.6121,,,1408,K,0.56463,3.9034,0.564630682,1,mm,,,0.256186914,0.34545,0.05108,,,0.541,1.2307,,,795,K,,,0.36636,,,,,33,762,K,1.5845,,0.58807
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{18}$B$_{1.5}$,,,,1134,K,,,,,,,,,,,,,0.586,,,,,,,,,,,,,,664,K,,,
Mg$_{58.5}$Cu$_{30.5}$Gd$_{11}$,3.0249,,,753,K,0.65073,6.7705,0.650730412,8,mm,,,0.147699579,0.43131,0.19325,,,0.56707,1.5031,,,490,K,,,0.41525,,,,,63,427,K,1.7146,,0.7344
Cu$_{72}$Zr$_{28}$,,,,1358,K,,,0.592,,,,,0.240495372,,,,,0.574,,,,804,K,,,0.376,,,,,24,780,K,,1.254,
Cu$_{54}$Ag$_{6}$Zr$_{33}$Ti$_{7}$,3.3199,,,1135,K,0.65022,5.2158,0.650220264,6,mm,,,0.191725143,0.39549,0.06808,,,0.62467,1.7324,,,738,K,,,0.40022,,,,,29,709,K,1.6656,,0.67577
Ca$_{53}$Mg$_{23}$Cu$_{24}$,3.8202,,,655,K,0.67023,6.2691,0.670229008,7,mm,,,0.15951253,0.43293,0.13253,,,0.61985,1.7631,,,439,K,,,0.41376,,,,,33,406,K,1.7011,,0.72061
Mg$_{65}$Cu$_{15}$Ag$_{10}$Y$_{8}$Gd$_{2}$,,7,mm,690,K,,,0.684057971,,,,,0.136675405,,,,,0.620289855,,,,472,K,,,0.422182469,,44,K,,,428,K,,,
Zr$_{44}$Cu$_{51}$Al$_{5}$,,,,1189,K,,,,,,,,0.184,,,,,0.605,,,,767,K,,,0.401,,,,,48,719,K,,,
Fe$_{77}$Mo$_{2}$P$_{10}$C$_{4}$B$_{4}$Si$_{3}$,2.5106,,,1264,K,0.61944,4.8105,0.619462025,2.5,mm,,,0.207878599,0.38797,0.07854,,,0.587,1.4998,,,783,K,,,0.39032,,,,,41,742,K,1.6423,,0.65187
Ni$_{37}$Zr$_{63}$,,,,1313,K,,,0.548,,,,,0.276742838,,,,,0.533,,,,720,K,,,0.358,,,,,20,700,K,,0.797,
Be$_{45}$Zr$_{55}$,,,,1413,K,,,0.482,,,,,0.32111592,,,,,0.457,,,,681,K,5.18,g/cm3,0.331,,,,,35,646,K,,0.709,
Zr$_{65.5}$Al$_{5.6}$Ni$_{6.5}$Cu$_{22.4}$,2.0211,,,1211,K,0.60528,5.712,0.605284889,3,mm,,,0.175070028,0.40154,0.17728,,,0.52023,1.2616,,,733,K,,,0.39815,,,,,103,630,K,1.6837,,0.69034
Ga$_{18}$Sr$_{82}$,,,,793,K,,,,,,,,,,,,,0.561,,,,,,,,,,,,,,445,K,,0.632,
Fe$_{41}$Co$_{7}$Cr$_{15}$Mo$_{14}$C$_{15}$B$_{6}$Y$_{2}$,2.3298,,,1436,K,0.60933,4.5313,0.609331476,16,mm,,,0.22068722,0.37352,0.06187,,,0.58357,1.4632,,,875,K,,,0.38478,,,,,37,838,K,1.6277,,0.6351
Cu$_{25}$Zr$_{75}$,,,,1363,K,,,0.454,,,,,0.333462181,,,,,0.419,,,,618,K,,,0.32,,,,,47,571,K,,0.797,
Cu$_{40}$Ag$_{20}$Zr$_{30}$Ti$_{10}$,2.7564,,,1125,K,0.62933,4.8822,0.629333333,3,mm,,,0.204825693,0.38719,0.0692,,,0.60178,1.5804,,,708,K,,,0.3929,,,,,31,677,K,1.6476,,0.65689
Mg$_{58.5}$Cu$_{30.5}$Y$_{11}$,2.9582,,,762,K,0.65092,7.248,0.650918635,9,mm,,,0.137969095,0.43176,0.21765,,,0.55381,1.4588,,,496,K,,,0.41892,,,,,74,422,K,1.7292,,0.74803
Ni$_{60}$Nb$_{40}$,2.8672,,,1484,K,0.62871,,0.628706199,,,,,0.22797,0,0,1400,K/s,0.62871,1.6933,,,933,K,,,0.38602,,,,,0,933,K,1.6287,,0.62871
Zr$_{41}$Ti$_{14}$Cu$_{12.5}$Ni$_{2}$Be$_{22.5}$C$_{8}$,6.5117,,,992,K,0.73286,11.219,0.732862903,3,mm,,,0.089134504,0.48605,0.26997,,,0.63407,2.0028,,,727,K,,,0.44849,,,,,98,629,K,1.7899,,0.83165
Ag$_{25}$Cu$_{40}$Zr$_{35}$,,,,694.4009,K,,,,,,,,,,,,,1.002675416,,,,744.1097,K,,,0.535076753,,,,,47.85092103,696.2587,K,,,
Cu$_{47}$Ti$_{33}$Zr$_{5}$Nb$_{6}$Ni$_{8}$Si,2.6216,,,1187,K,0.62258,4.6817,0.622577928,2,mm,,,0.213597625,0.37567,0.05684,,,0.59983,1.5558,,,739,K,,,0.38915,,,,,27,712,K,1.6378,,0.64532
Fe$_{56}$Mn$_{5}$Cr$_{7}$Mo$_{12}$Er$_{2}$C$_{12}$B$_{6}$,2.0378,,,1401,K,0.59386,4.3432,0.593861527,8,mm,,,0.230244981,0.36793,0.06414,,,0.56602,1.3684,,,832,K,,,0.37922,,,,,39,793,K,1.6152,,0.6217
Be$_{50}$Zr$_{50}$,,,,1473,K,,,0.463,,,,,0.358763817,,,,,0.456,,,,682,K,5.08,g/cm3,0.318,,,,,10,672,K,,0.709,
Au$_{77.8}$Si$_{8.4}$Ge$_{13.8}$,0.7604,,,629,K,0.46582,,0.46581876,,,,,0.36443,0,0,3E6,K/s,0.46582,0.872,,,293,K,,,0.31779,,,,,0,293,K,1.4658,,0.46582
Fe$_{74}$Nb$_{6}$Y$_{3}$B$_{17}$,2.7864,,,1391,K,0.63192,5.0654,0.631919482,2,mm,,,0.197417775,0.39736,0.08571,,,0.59741,1.5696,,,879,K,,,0.39559,,,,,48,831,K,1.6552,,0.66643
Fe$_{74}$Mo$_{5}$P$_{10}$C$_{4}$B$_{4}$Si$_{3}$,2.809,,,1263,K,0.63245,5.0331,0.632620744,3,mm,,,0.198684707,0.39535,0.08113,,,0.6,1.5811,,,799,K,,,0.39528,,,,,41,758,K,1.6541,,0.66491
Zr$_{46.75}$Ti$_{8.25}$Cu$_{7.5}$Ni$_{10}$Be$_{27.5}$,2.1557,,,1185,K,0.6135,,0.61350211,,,,,0.16714,0.407,0.1865,28,K/s,0.52489,1.2913,,,727,K,,,0.40232,,,,,105,622,K,1.6937,,0.70211
Cu$_{43}$Zr$_{43}$Ag$_{7}$In$_{7}$,3.516,,,1135,K,0.659,5.6966,0.659030837,5,mm,,,0.175543307,0.4172,0.1021,,,0.6203,1.7355,,,748,K,,,0.4067,,,,,44,704,K,1.6828,,0.6978
Pd$_{30}$Zr$_{70}$,,,,1343,K,,,0.514,,,,,0.313238339,,,,,0.506,,,,690,K,7.71,g/cm3,0.341,,,,,10,680,K,,0.899,
Pd$_{81.5}$Cu$_{2}$Si$_{16.5}$,,,,1097.3,K,,,,,,1008.8,K,,,,,,0.577,,1,mm,,,,,,off eutectic,,,0.627,,633,K,,,
Cu$_{43}$Zr$_{43}$Ag$_{7}$Ti$_{7}$,2.931,,,1118,K,0.6386,5.2928,0.638640429,5,mm,,,0.188935913,0.406,0.0982,,,0.5993,1.5938,,,714,K,,,0.3993,,,,,44,670,K,1.665,,0.678
Pd$_{40}$Cu$_{20}$Ni$_{10}$P$_{20}$,,,,862,K,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,578,K,,,
Ag$_{20}$Cu$_{35}$Zr$_{45}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7718,K,,,
Cu$_{55}$Zr$_{45}$,,,,1183,K,,,0.632,,,,,0.190996654,,,,,0.59,,,,748,K,,,0.398,,,,,50,698,K,,0.797,
Nb$_{38}$Ni$_{62}$,,,,1473,K,,,0.631,,,,,0.204805747,,,,,0.606,,,,930,K,,,0.393,,,,,38,892,K,,1.135,
Zr$_{50}$Cu$_{40}$Al$_{10}$,,,,1176,K,,,,,,,,0.172,,,,,0.607,,,,770,K,,,0.407,,,,,56,714,K,,,
Zr$_{66}$Al$_{8}$Cu$_{12}$Ni$_{14}$,2.4831,,,1172.1,K,0.62495,,0.624946677,,,,,0.17728,0.41181,0.14971,9.8,K/s,0.55891,1.4168,,,732.5,K,,,0.40089,,,,,77.4,655.1,K,1.6771,,0.69098
Al$_{30}$Sr$_{70}$,,,,953,K,,,,,,,,,,,,,0.556,,,,,,,,,,,,,,530,K,,0.665,
Cu$_{45}$Zr$_{45}$Ag$_{3}$Al$_{7}$,3.64,,,1177,K,0.6678,6.6858,0.66779949,8,mm,,,0.149570732,0.4388,0.1663,,,0.6015,1.6759,,,786,K,,,0.417,,,,,78,708,K,1.7117,,0.7341
Ca$_{45}$Mg$_{30}$Cu$_{25}$,2.2142,,,717,K,0.60809,4.9414,0.608089261,1,mm,,,0.202371797,0.39462,0.11076,,,0.55927,1.3797,,,436,K,,,0.38998,,,,,35,401,K,1.6466,,0.6569
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{15.5}$B$_{4}$,,,,1187,K,,,,,,,,,,,,,0.563,,,,,,,,,,,,,,668,K,,,
Ca$_{60}$Mg$_{20}$Ag$_{20}$,,,,666.1158,K,,,,4,mm,,,0.157469943,,,,,0.601997447,,,,441.1303,K,,,0.412,,,,,40.53571429,401,K,,,
Cu$_{47}$Ni$_{13}$Zr$_{30}$Ti$_{10}$,2.2192,,,1251,K,0.60272,4.3648,0.602717826,1,mm,,,0.229105572,0.36288,0.05153,,,0.58114,1.4389,,,754,K,,,0.38119,,,,,27,727,K,1.6183,,0.6243
Zr$_{66}$Al$_{8}$Cu$_{7}$Ni$_{19}$,2.0708,,,1200.8,K,0.60018,,0.600183211,,,,,0.208,0.38974,0.10845,22.7,K/s,0.55155,1.3383,,,720.7,K,,,0.38683,,,,,58.4,662.3,K,1.6397,,0.64882
Cu$_{50}$Zr$_{50}$,2.0999,,,1237,K,0.6015,4.7945,0.601455133,2,mm,,,0.208572322,0.3895,0.1053,,,0.5546,1.3503,,,744,K,,,0.3869,,,,,58,686,K,1.6391,,0.6483
Cu$_{49}$Zr$_{36}$Ag$_{10}$Ti$_{5}$,3.2973,,,1130,K,0.6522,5.5972,0.652212389,8,mm,,,0.178660759,0.4151,0.1048,,,0.6115,1.6788,,,737,K,,,0.4047,,,,,46,691,K,1.6781,,0.6929
Fe$_{71}$MoY$_{6}$B$_{22}$,2.791,,,1517,K,0.6328,5.1594,0.63282795,2.5,mm,,,0.193820987,0.4016,0.0943,,,0.5946,1.561,,,960,K,,,0.3969,,,,,58,902,K,1.6589,,0.6711
Ni$_{42}$Ti$_{20}$Zr$_{21.5}$Al$_{8}$Cu$_{5}$Si$_{3.5}$,2.4216,,,1366,K,0.61933,5.2211,0.619326501,2.5,mm,,,0.19153052,0.40346,0.12162,,,0.56662,1.4291,,,846,K,,,0.39533,,,,,72,774,K,1.6596,,0.67204
Zr$_{50}$Cu$_{48}$Ag$_{2}$,2.1468,,,1192,K,0.6032,4.7441,0.603187919,2,mm,,,0.210788137,0.3879,0.0973,,,0.5604,1.3721,,,719,K,,,0.3866,,,,,51,668,K,1.6367,,0.646
Cu$_{35}$Ag$_{25}$Zr$_{30}$Ti$_{10}$,2.5611,,,1138,K,0.62039,4.6966,0.620386643,2,mm,,,0.212919985,0.37914,0.06291,,,0.5949,1.5315,,,706,K,,,0.38898,,,,,29,677,K,1.6377,,0.64587
Fe$_{75}$Mo$_{2}$Ga$_{3}$P$_{10}$C$_{4}$B$_{4}$Si$_{2}$,3.1557,,,1230,K,0.64878,5.7204,0.648780488,2.5,mm,,,0.17481295,0.41908,0.12195,,,0.6,1.622,,,798,K,,,0.40549,,,,,60,738,K,1.6813,,0.69756
Al$_{88}$Ni$_{4}$Y$_{8}$,,,,1189,K,,,,,,,,0.436,,,,,0.39,,,,465,K,,,0.281,,,,,1,464,K,,,
Ca$_{65}$Mg$_{25}$Cu$_{10}$,2.5311,,,691,K,0.62084,4.8779,0.620839363,0.5,mm,,,0.205006253,0.39127,0.08392,,,0.58611,1.5,,,429,K,,,0.39142,,,,,24,405,K,1.6454,,0.65557
