formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Fe$_{72}$Nb$_{4}$B$_{20}$Si$_{4}$,2.541,,,1420,K,0.61972,4.7093,0.61971831,2,mm,,,0.212345784,0.38073,0.06574,,,0.59296,1.5225,,,880,K,,,0.38904,,,,,38,842,K,1.6381,,0.64648
Cu$_{45}$Zr$_{45}$Al$_{10}$,,,,1159,K,,,,,,,,0.153,,,,,0.61,,,,776,K,,,0.416,,,,,70,706,K,,,
Pd$_{79}$Cu$_{3}$Ag$_{3}$Si$_{10}$P$_{5}$,4.0183,,,1005,K,0.6796,7.2621,0.67960199,5,mm,,,0.137701216,0.44804,0.18481,,,0.60697,1.7291,,,683,K,,,0.42291,,,,,73,610,K,1.7266,,0.75224
Ca$_{50}$Mg$_{22.5}$Cu$_{27.5}$,3.6199,,,663,K,0.66667,6.5621,0.666666667,10,mm,,,0.152390241,0.4371,0.1597,,,0.60332,1.6806,,,442,K,,,0.4158,,,,,42,400,K,1.7083,,0.73002
La$_{70}$Al$_{14}$(CuNi)$_{16}$,,0.5,mm,763,K,,,0.56225426,,,,,0.222226104,,,,,0.52948886,,,,429,K,,,0.367609254,,,,,,404,K,,,
Ca$_{55}$Mg$_{20}$Zn$_{25}$,2.1834,,,702,K,0.60969,5.2947,0.60968661,2,mm,,,0.188868113,0.40167,0.14107,,,0.54558,1.3417,,,428,K,,,0.39447,,,,,45,383,K,1.6631,,0.67379
Cu$_{60}$Zr$_{40}$,,,,1198,K,,,0.634,,,,,0.21001032,,,,,0.618,,,,760,K,,,0.392,,,,,20,740,K,,1.254,
Ti$_{55}$Zr$_{10}$Cu$_{9}$Ni$_{8}$Be$_{18}$,3.5045,,,1013,K,0.65844,5.6532,0.658440276,6,mm,,,0.176890964,0.41566,0.09896,,,0.62093,1.737,,,667,K,,,0.40621,,,,,38,629,K,1.6813,,0.69595
Ti$_{45}$Ni$_{15}$Cu$_{25}$Sn$_{3}$Be$_{7}$Zr$_{5}$,3.1336,,,1142,K,0.64886,5.8395,0.648861646,5,mm,,,0.171247538,0.42179,0.13203,,,0.59545,1.6039,,,741,K,,,0.4067,,,,,61,680,K,1.6852,,0.70228
Mg$_{75}$Ni$_{15}$Nd$_{10}$,2.0654,,,790,K,0.59494,,0.594936709,,,,,0.23164,0.36494,0.05882,46.1,K/s,0.56962,1.3824,,,470,K,,,0.37903,,,,,20,450,K,1.6141,,0.62025
Fe$_{69}$Ni$_{3}$Y$_{6}$B$_{22}$,2.2617,,,1503,K,0.6055,4.4433,0.605455755,1.5,mm,,,0.225057952,0.3685,0.0572,,,0.5815,1.4467,,,910,K,,,0.3828,,,,,36,874,K,1.6227,,0.6294
Fe$_{70}$Co$_{2}$Y$_{6}$B$_{22}$,3.7414,,,1420,K,0.6648,5.6668,0.664788732,2,mm,,,0.176466436,0.4135,0.0881,,,0.6324,1.8084,,,944,K,,,0.4073,,,,,46,898,K,1.6836,,0.6972
La$_{55}$Al$_{25}$Ni$_{5}$Cu$_{15}$,1.8617,,,878.1,K,0.59219,,0.592187678,,,,,0.19623,0.39166,0.14535,35.9,K/s,0.52283,1.2411,,,520,K,,,0.38887,,,,,60.9,459.1,K,1.6555,,0.66154
Pd$_{42.5}$Cu$_{30}$Ni$_{7.5}$P$_{20}$,12.513,,,834,K,0.79137,,0.791366906,,,,,0.05436,0.52463,0.33077,0.067,K/s,0.68825,2.5385,,,660,K,,,0.46875,,,,,86,574,K,1.8381,,0.89448
Fe$_{68}$Mo$_{4}$Y$_{6}$B$_{22}$,2.9187,,,1488,K,0.6344,4.8139,0.634408602,6.5,mm,,,0.207731777,0.3754,0.0506,,,0.6149,1.6475,,,944,K,,,0.3928,,,,,29,915,K,1.6466,,0.6539
Ca$_{55}$Mg$_{15}$Cu$_{30}$,2.3975,,,706,K,0.61898,5.3019,0.61898017,3,mm,,,0.18861163,0.405,0.12945,,,0.56232,1.4142,,,437,K,,,0.39619,,,,,40,397,K,1.6631,,0.67564
Zr$_{48}$Cu$_{36}$Ag$_{8}$Al$_{8}$,4.4049,,,1143,K,0.69204,8.3717,0.692038495,25,mm,,,0.119450052,0.45863,0.223,,,0.604,1.7461,,,791,K,,,0.43153,,,,,101,690,K,1.7501,,0.7804
Cu$_{51.5}$Zr$_{40.5}$Al$_{8}$,,,,1176,K,,,,,,,,0.158,,,,,0.621,,,,790,K,,,0.414,,,,,60,730,K,,,
((Co$_{0.6}$Fe$_{0.4}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,2.3279,,,1418,K,0.61001,4.6093,0.610014104,4,mm,,,0.216952683,0.37927,0.07059,,,0.58,1.4538,,,865,K,,,0.38599,,,,,42,823,K,1.6314,,0.63963
Ca$_{65}$Mg$_{20}$Zn$_{15}$,2.225,,,668,K,0.60629,4.6931,0.606287425,5,mm,,,0.213078775,0.38548,0.08681,,,0.56886,1.4063,,,405,K,,,0.38645,,,,,25,380,K,1.6347,,0.64371
