formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Mg65Cu7.5Ni7.5Ag5Zn5Gd10,-2.413613199,440,726,477,0.60606,0.40909,0.167714885
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5,-2.856289631,433,735,473,0.58912,0.40497,0.173994745
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5,-2.856289631,434,718,472,0.60446,0.40972,0.166019192
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5,-2.856289631,438,719,474,0.60918,0.40968,0.166919828
Mg65Cu7.5Ni7.5Zn5Ag5Y10,-2.856289631,426,717,464,0.59414,0.40595,0.1727
Mg65Ni20Nd15,-2.616732385,459,805,501,0.57019,0.39636,0.1899
Mg65Zr35,-3.83618864,359,616,379,0.583,0.389,0.210819295
Mg70Ni15Nd15,-2.616732385,467,844,489,0.55332,0.373,0.24258
Mg75Ni15Nd10,-2.263728027,450,790,470,0.56962,0.37903,0.23164
Mg77Ni18Nd5,-2.263728027,429,887,437,0.48365,0.33207,0.32972
Mg80Cu10Y10,-2.385871622,427,,448,,,
Mg80Ni10Nd10,-2.263728027,454,878,471,0.51708,0.3536,0.28222
Mg90Ni5Nd5,-1.83504342,426,919,449,0.46355,0.33383,0.31532
Zr26Ti10Cu8Ni8Be20Y4Mg24,-3.806512813,650,951,700,0.68349,0.43723,0.11657865
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12,-7.601479873,670,1029,712,0.65112,0.41907,0.152311324
Zr36Nb12Cu10Ni8Be20Y2Mg12,-7.601479873,653,1029,733,0.6346,0.43579,0.114403386
Zr40Ti15Cu11Ni11Be21.5YMg0.5,-7.019703618,630,975,674,0.64615,0.41994,0.149671471
